Streamflow Gauge Comparison
"Scenario: Reference, Streamflow Gauge: EF_L07_Embalse"
Cubic Meters per Second
Statistic,Modeled,Observed
"Jan 1 1979",0.368317,0.174383
"Jan 8 1979",0.183914,0.0202733
"Jan 15 1979",0.0993156,0.0210064
"Jan 22 1979",0.0566602,0.0215144
"Jan 29 1979",0.034359,0.0219036
"Feb 5 1979",0.021668,0.0222082
"Feb 12 1979",0.0139318,0.0224124
"Feb 19 1979",0.00926078,0.0225973
"Feb 26 1979",0.00647164,0.0198952
"Mar 5 1979",0.00468059,0.0228543
"Mar 12 1979",0.00345466,0.0229319
"Mar 19 1979",0.00261038,0.023013
"Mar 26 1979",0.00202397,0.0230704
"Apr 2 1979",0.00250309,0.0253662
"Apr 9 1979",0.00197556,0.023254
"Apr 16 1979",0.00160869,0.0233439
"Apr 23 1979",0.00563171,0.0419256
"Apr 30 1979",0.0154973,0.047349
"May 7 1979",0.00713375,0.0441393
"May 14 1979",0.00601324,0.047583
"May 21 1979",0.00504542,0.0478286
"May 28 1979",0.00426379,0.048623
"Jun 4 1979",0.00369773,0.0490946
"Jun 11 1979",0.00320433,0.0493181
"Jun 18 1979",0.00277733,0.0494369
"Jun 25 1979",0.00241012,0.0542419
"Jul 2 1979",0.00205227,0.0553717
"Jul 9 1979",0.00175508,0.0558897
"Jul 16 1979",0.00152096,0.0608043
"Jul 23 1979",0.0428914,0.177592
"Jul 30 1979",1.47202,1.54558
"Aug 6 1979",0.233436,0.986801
"Aug 13 1979",0.1529,0.634905
"Aug 20 1979",0.559337,0.493499
"Aug 27 1979",0.65316,0.696132
"Sep 3 1979",0.677482,0.956949
"Sep 10 1979",0.257488,0.982066
"Sep 17 1979",0.121368,0.665277
"Sep 24 1979",0.183523,0.484407
"Oct 1 1979",0.0676715,0.405871
"Oct 8 1979",0.0411804,0.354157
"Oct 15 1979",0.0236976,0.32505
"Oct 22 1979",0.0141738,0.307397
"Oct 29 1979",0.00881801,0.294922
"Nov 5 1979",0.0072248,0.28439
"Nov 12 1979",0.00514274,0.291206
"Nov 19 1979",0.00293194,0.282604
"Nov 26 1979",0.00186949,0.278779
"Dec 3 1979",0.00119105,0.273696
"Dec 10 1979",0.00305939,0.279087
"Dec 17 1979",0.00125357,0.26867
"Dec 24 1979",0.000599552,0.263998
"Jan 1 1980",0.000444846,0.25895
"Jan 8 1980",0.0006142,0.253851
"Jan 15 1980",0.000600134,0.248622
"Jan 22 1980",0.000298833,0.243385
"Jan 29 1980",0.000513467,0.238171
"Feb 5 1980",0.000421696,0.233051
"Feb 12 1980",0.000198413,0.228099
"Feb 19 1980",0.000283431,0.223929
"Feb 26 1980",0.000128969,0.218152
"Mar 5 1980",9.21918E-5,0.213245
"Mar 12 1980",6.18343E-5,0.20884
"Mar 19 1980",4.33929E-5,0.20454
"Mar 26 1980",3.12323E-5,0.200388
"Apr 2 1980",0.00351963,0.238747
"Apr 9 1980",2.01063,4.52692
"Apr 16 1980",0.442166,2.51274
"Apr 23 1980",0.444304,2.13304
"Apr 30 1980",0.204602,1.23673
"May 7 1980",0.765949,0.887556
"May 14 1980",0.361925,0.7083
"May 21 1980",0.188985,0.573168
"May 28 1980",0.634732,0.480518
"Jun 4 1980",0.32478,0.509927
"Jun 11 1980",0.175288,0.540435
"Jun 18 1980",0.890731,0.635198
"Jun 25 1980",0.934175,1.15466
"Jul 2 1980",0.957426,1.13106
"Jul 9 1980",0.301136,0.98719
"Jul 16 1980",2.15618,3.1816
"Jul 23 1980",3.81806,4.96747
"Jul 30 1980",1.04617,3.44605
"Aug 6 1980",0.563194,2.1907
"Aug 13 1980",0.371875,1.29931
"Aug 20 1980",0.262894,0.88428
"Aug 27 1980",0.205969,0.653157
"Sep 3 1980",0.133395,0.515778
"Sep 10 1980",0.0885336,0.440706
"Sep 17 1980",0.119655,0.402693
"Sep 24 1980",0.375532,0.855223
"Oct 1 1980",0.292849,2.07176
"Oct 8 1980",0.130622,1.13682
"Oct 15 1980",0.0628431,0.721778
"Oct 22 1980",0.0385685,0.54574
"Oct 29 1980",0.0232971,0.45835
"Nov 5 1980",0.0379231,0.409475
"Nov 12 1980",0.0144835,0.379735
"Nov 19 1980",0.00877611,0.359751
"Nov 26 1980",0.00532743,0.343031
"Dec 3 1980",0.00313786,0.328731
"Dec 10 1980",0.00186313,0.316201
"Dec 17 1980",0.00227851,0.305111
"Dec 24 1980",0.000931227,0.294351
"Jan 1 1981",0.000610498,0.284488
"Jan 8 1981",0.000377232,0.27614
"Jan 15 1981",0.000309902,0.268488
"Jan 22 1981",0.000177331,0.261367
"Jan 29 1981",0.000108815,0.254689
"Feb 5 1981",0.00019395,0.248406
"Feb 12 1981",0.000159699,0.242401
"Feb 19 1981",8.86683E-5,0.236781
"Feb 26 1981",5.88553E-5,0.202485
"Mar 5 1981",3.82778E-5,0.226304
"Mar 12 1981",2.61242E-5,0.22148
"Mar 19 1981",1.87679E-5,0.216815
"Mar 26 1981",1.44199E-5,0.21239
"Apr 2 1981",1.09335E-5,0.208173
"Apr 9 1981",8.35719E-6,0.204095
"Apr 16 1981",6.70362E-6,0.200195
"Apr 23 1981",0.000231009,0.200306
"Apr 30 1981",0.0274233,0.242447
"May 7 1981",0.199942,0.587841
"May 14 1981",0.054165,0.867585
"May 21 1981",0.0437421,0.674807
"May 28 1981",1.64667,2.71412
"Jun 4 1981",0.288866,2.66269
"Jun 11 1981",0.229486,1.57632
"Jun 18 1981",0.704957,1.97289
"Jun 25 1981",0.211268,1.6866
"Jul 2 1981",0.66854,1.13419
"Jul 9 1981",0.934031,0.995482
"Jul 16 1981",0.257363,1.03297
"Jul 23 1981",0.20497,0.774142
"Jul 30 1981",1.01856,0.624469
"Aug 6 1981",0.673356,0.548272
"Aug 13 1981",0.213695,0.466362
"Aug 20 1981",0.142236,0.412981
"Aug 27 1981",0.356488,0.397812
"Sep 3 1981",0.181506,0.384091
"Sep 10 1981",0.151451,0.383724
"Sep 17 1981",0.0672717,0.359656
"Sep 24 1981",0.0425122,0.343181
"Oct 1 1981",0.0284426,0.330709
"Oct 8 1981",0.0200395,0.320191
"Oct 15 1981",0.013219,0.310867
"Oct 22 1981",0.00846754,0.302024
"Oct 29 1981",0.00543019,0.293779
"Nov 5 1981",0.00579311,0.28605
"Nov 12 1981",0.00294626,0.278664
"Nov 19 1981",0.00177545,0.271836
"Nov 26 1981",0.0014942,0.265425
"Dec 3 1981",0.000810096,0.259174
"Dec 10 1981",0.0004762,0.253272
"Dec 17 1981",0.000285728,0.247648
"Dec 24 1981",0.000146055,0.24186
"Jan 1 1982",0.000113586,0.236303
"Jan 8 1982",7.52477E-5,0.23138
"Jan 15 1982",4.4497E-5,0.22663
"Jan 22 1982",2.69757E-5,0.222054
"Jan 29 1982",1.66432E-5,0.217656
"Feb 5 1982",1.03962E-5,0.213417
"Feb 12 1982",6.69129E-6,0.209357
"Feb 19 1982",4.56293E-6,0.205427
"Feb 26 1982",7.33829E-6,0.176421
"Mar 5 1982",6.97045E-5,0.19798
"Mar 12 1982",4.5274E-5,0.194455
"Mar 19 1982",0.0141137,0.211557
"Mar 26 1982",0.00428753,0.206886
"Apr 2 1982",0.002796,0.209689
"Apr 9 1982",0.00194767,0.209047
"Apr 16 1982",0.00144292,0.207554
"Apr 23 1982",0.00107071,0.205573
"Apr 30 1982",0.000810534,0.207777
"May 7 1982",1.64755,1.85553
"May 14 1982",0.888467,3.17834
"May 21 1982",0.287692,1.90519
"May 28 1982",0.227685,1.16858
"Jun 4 1982",1.00544,0.877366
"Jun 11 1982",7.68234,3.45679
"Jun 18 1982",9.91151,6.57045
"Jun 25 1982",17.0633,16.3293
"Jul 2 1982",3.43624,7.73697
"Jul 9 1982",4.68439,4.66343
"Jul 16 1982",10.8715,12.7719
"Jul 23 1982",3.6143,6.4544
"Jul 30 1982",1.44173,3.7763
"Aug 6 1982",5.57941,2.93725
"Aug 13 1982",3.37368,7.30122
"Aug 20 1982",4.47979,3.44473
"Aug 27 1982",0.961334,2.09191
"Sep 3 1982",0.797252,1.24182
"Sep 10 1982",1.19566,0.874413
"Sep 17 1982",1.25569,0.696011
"Sep 24 1982",1.51512,0.583602
"Oct 1 1982",0.466691,0.508153
"Oct 8 1982",0.304985,0.449427
"Oct 15 1982",0.373957,0.418284
"Oct 22 1982",0.235709,0.388818
"Oct 29 1982",0.126317,0.369321
"Nov 5 1982",0.0736645,0.353993
"Nov 12 1982",0.0466329,0.340348
"Nov 19 1982",0.0288271,0.32813
"Nov 26 1982",0.0178986,0.318083
"Dec 3 1982",0.0110175,0.307279
"Dec 10 1982",0.00686124,0.298201
"Dec 17 1982",0.00428864,0.289907
"Dec 24 1982",0.00240851,0.281556
"Jan 1 1983",0.00154125,0.273612
"Jan 8 1983",0.00599132,0.266975
"Jan 15 1983",0.002098,0.260066
"Jan 22 1983",0.00109977,0.255201
"Jan 29 1983",0.000781614,0.249171
"Feb 5 1983",0.000464213,0.243343
"Feb 12 1983",0.000345127,0.238322
"Feb 19 1983",0.000208469,0.233439
"Feb 26 1983",0.000139183,0.20014
"Mar 5 1983",9.70777E-5,0.224193
"Mar 12 1983",6.87662E-5,0.219797
"Mar 19 1983",5.04003E-5,0.215557
"Mar 26 1983",0.000644309,0.21148
"Apr 2 1983",0.00122379,0.207539
"Apr 9 1983",0.000627685,0.203734
"Apr 16 1983",0.000458259,0.207344
"Apr 23 1983",0.00573662,0.198382
"Apr 30 1983",0.0181463,0.219341
"May 7 1983",0.0067919,0.214074
"May 14 1983",0.209043,0.325335
"May 21 1983",0.114093,0.407339
"May 28 1983",0.067933,0.382228
"Jun 4 1983",0.173507,0.36951
"Jun 11 1983",0.256179,0.46378
"Jun 18 1983",0.605212,3.69901
"Jun 25 1983",0.370355,3.18476
"Jul 2 1983",16.6721,12.4672
"Jul 9 1983",1.38792,18.7702
"Jul 16 1983",1.08127,8.46958
"Jul 23 1983",0.97084,4.39999
"Jul 30 1983",0.64338,2.53865
"Aug 6 1983",3.95729,2.09485
"Aug 13 1983",0.691033,2.01405
"Aug 20 1983",1.30231,1.46067
"Aug 27 1983",1.13817,1.22998
"Sep 3 1983",1.09734,0.919392
"Sep 10 1983",0.608409,0.703404
"Sep 17 1983",0.363032,0.582965
"Sep 24 1983",0.600441,0.609812
"Oct 1 1983",0.173586,0.530501
"Oct 8 1983",0.10467,0.453812
"Oct 15 1983",0.0760212,0.40643
"Oct 22 1983",0.0459917,0.376522
"Oct 29 1983",0.0284191,0.356523
"Nov 5 1983",0.0179926,0.340874
"Nov 12 1983",0.01312,0.327331
"Nov 19 1983",0.00784087,0.315527
"Nov 26 1983",0.00479549,0.304946
"Dec 3 1983",0.00295828,0.295495
"Dec 10 1983",0.0018355,0.286761
"Dec 17 1983",0.00113337,0.278583
"Dec 24 1983",0.000582684,0.27047
"Jan 1 1984",0.000402852,0.262948
"Jan 8 1984",0.00029682,0.256368
"Jan 15 1984",0.000516736,0.250337
"Jan 22 1984",0.000255519,0.244607
"Jan 29 1984",0.000144859,0.23913
"Feb 5 1984",8.67404E-5,0.233961
"Feb 12 1984",5.41377E-5,0.228954
"Feb 19 1984",3.55856E-5,0.224172
"Feb 26 1984",2.07483E-5,0.219275
"Mar 5 1984",1.62199E-5,0.214572
"Mar 12 1984",0.00371539,0.210406
"Mar 19 1984",0.0014567,0.206364
"Mar 26 1984",0.0104241,0.204592
"Apr 2 1984",0.00348489,0.199148
"Apr 9 1984",0.011316,0.199086
"Apr 16 1984",0.00442078,0.194699
"Apr 23 1984",0.00336083,0.19262
"Apr 30 1984",0.0901751,0.212472
"May 7 1984",0.0286025,0.212811
"May 14 1984",0.0252125,0.21846
"May 21 1984",0.207315,0.284441
"May 28 1984",0.0635116,0.404753
"Jun 4 1984",0.124289,0.390568
"Jun 11 1984",0.177493,0.358951
"Jun 18 1984",0.726667,0.35645
"Jun 25 1984",5.07702,0.689756
"Jul 2 1984",23.9626,59.8354
"Jul 9 1984",11.9088,50.9523
"Jul 16 1984",1.84812,17.9193
"Jul 23 1984",1.40452,14.5954
"Jul 30 1984",2.33393,8.08074
"Aug 6 1984",1.48712,5.37438
"Aug 13 1984",1.19321,3.76502
"Aug 20 1984",0.700747,2.40425
"Aug 27 1984",0.54186,1.93253
"Sep 3 1984",1.18535,1.8813
"Sep 10 1984",2.56227,1.57757
"Sep 17 1984",5.1873,1.50463
"Sep 24 1984",5.68571,1.41066
"Oct 1 1984",8.42799,1.03612
"Oct 8 1984",3.11738,0.775377
"Oct 15 1984",0.75439,0.616682
"Oct 22 1984",0.492847,0.518067
"Oct 29 1984",0.270835,0.45658
"Nov 5 1984",0.459272,0.420205
"Nov 12 1984",0.150372,0.388545
"Nov 19 1984",0.0884947,0.364455
"Nov 26 1984",0.0525503,0.345029
"Dec 3 1984",0.0313337,0.329348
"Dec 10 1984",0.0190387,0.315722
"Dec 17 1984",0.0118314,0.303731
"Dec 24 1984",0.00616088,0.292247
"Jan 1 1985",0.00403904,0.282145
"Jan 8 1985",0.00386164,0.273645
"Jan 15 1985",0.0029997,0.265888
"Jan 22 1985",0.00164416,0.258763
"Jan 29 1985",0.00110401,0.252134
"Feb 5 1985",0.000673097,0.24581
"Feb 12 1985",0.000419661,0.239822
"Feb 19 1985",0.000272756,0.234111
"Feb 26 1985",0.0001863,0.200142
"Mar 5 1985",0.00013144,0.223808
"Mar 12 1985",9.60797E-5,0.219145
"Mar 19 1985",0.000117651,0.218801
"Mar 26 1985",0.00673404,0.235403
"Apr 2 1985",0.0025526,0.240225
"Apr 9 1985",0.00179502,0.240922
"Apr 16 1985",0.00129482,0.23835
"Apr 23 1985",0.00163285,0.235515
"Apr 30 1985",0.00292083,0.263238
"May 7 1985",0.00159908,0.286509
"May 14 1985",0.0213547,0.328499
"May 21 1985",0.00766857,0.33345
"May 28 1985",0.0062973,0.313034
"Jun 4 1985",0.00513733,0.297946
"Jun 11 1985",0.0277586,0.296906
"Jun 18 1985",0.0104521,0.289549
"Jun 25 1985",0.0366683,0.285424
"Jul 2 1985",0.318322,0.476011
"Jul 9 1985",0.0794709,0.467704
"Jul 16 1985",0.34144,0.466589
"Jul 23 1985",0.476339,0.540801
"Jul 30 1985",0.496478,0.763221
"Aug 6 1985",0.167796,0.635629
"Aug 13 1985",0.113256,0.502718
"Aug 20 1985",0.129882,0.42616
"Aug 27 1985",0.0607214,0.37909
"Sep 3 1985",0.149673,0.34817
"Sep 10 1985",0.151114,0.333072
"Sep 17 1985",0.0465035,0.320057
"Sep 24 1985",0.0491104,0.30983
"Oct 1 1985",0.0210104,0.303617
"Oct 8 1985",0.018873,0.296079
"Oct 15 1985",0.047773,0.294825
"Oct 22 1985",0.0285919,0.288028
"Oct 29 1985",0.0114633,0.28385
"Nov 5 1985",0.00717961,0.279067
"Nov 12 1985",0.00886789,0.274004
"Nov 19 1985",0.00352808,0.268848
"Nov 26 1985",0.00204484,0.263614
"Dec 3 1985",0.00120614,0.258426
"Dec 10 1985",0.000729917,0.253294
"Dec 17 1985",0.000445761,0.248284
"Dec 24 1985",0.000231707,0.243037
"Jan 1 1986",0.000157915,0.237933
"Jan 8 1986",9.48788E-5,0.233308
"Jan 15 1986",5.79514E-5,0.228835
"Jan 22 1986",3.53378E-5,0.224479
"Jan 29 1986",2.16572E-5,0.22024
"Feb 5 1986",3.93221E-5,0.216166
"Feb 12 1986",2.66753E-5,0.212199
"Feb 19 1986",1.67941E-5,0.208341
"Feb 26 1986",1.1055E-5,0.179059
"Mar 5 1986",7.56096E-6,0.201024
"Mar 12 1986",5.30714E-6,0.197531
"Mar 19 1986",3.76516E-6,0.194147
"Mar 26 1986",2.74395E-6,0.190859
"Apr 2 1986",2.09056E-6,0.18767
"Apr 9 1986",1.62019E-6,0.184588
"Apr 16 1986",0.000654398,0.189412
"Apr 23 1986",0.00499097,0.186225
"Apr 30 1986",0.00200321,0.185068
"May 7 1986",0.00155745,0.186093
"May 14 1986",0.168839,0.880597
"May 21 1986",2.07695,2.60388
"May 28 1986",2.78757,11.6921
"Jun 4 1986",3.48714,5.4467
"Jun 11 1986",14.188,7.50207
"Jun 18 1986",1.3793,7.84697
"Jun 25 1986",1.07083,3.73481
"Jul 2 1986",0.830235,2.142
"Jul 9 1986",0.65731,1.35199
"Jul 16 1986",0.976589,1.10352
"Jul 23 1986",0.625663,0.859101
"Jul 30 1986",0.382961,0.668008
"Aug 6 1986",0.298619,0.556106
"Aug 13 1986",0.743039,0.527639
"Aug 20 1986",0.912098,1.67254
"Aug 27 1986",0.287753,1.22441
"Sep 3 1986",0.19546,0.823096
"Sep 10 1986",0.273801,0.650274
"Sep 17 1986",0.157742,0.59404
"Sep 24 1986",0.0957154,0.494425
"Oct 1 1986",0.0779525,0.430517
"Oct 8 1986",0.0607452,0.393056
"Oct 15 1986",0.0503621,0.368331
"Oct 22 1986",0.0264679,0.349895
"Oct 29 1986",0.0268487,0.348143
"Nov 5 1986",0.0141372,0.327212
"Nov 12 1986",0.00889821,0.316026
"Nov 19 1986",0.00568282,0.309818
"Nov 26 1986",0.00463753,0.355905
"Dec 3 1986",0.00263376,0.333479
"Dec 10 1986",0.00151909,0.319388
"Dec 17 1986",0.00100861,0.311131
"Dec 24 1986",0.000496019,0.303832
"Jan 1 1987",0.000500524,0.296787
"Jan 8 1987",0.000270522,0.290237
"Jan 15 1987",0.000158938,0.283773
"Jan 22 1987",9.70708E-5,0.277477
"Jan 29 1987",5.8852E-5,0.27132
"Feb 5 1987",3.55084E-5,0.265331
"Feb 12 1987",5.26336E-5,0.259564
"Feb 19 1987",8.91865E-5,0.253948
"Feb 26 1987",5.40547E-5,0.217466
"Mar 5 1987",4.19764E-5,0.243329
"Mar 12 1987",2.83052E-5,0.238307
"Mar 19 1987",0.0103372,0.234646
"Mar 26 1987",0.00634112,0.228946
"Apr 2 1987",0.0031256,0.224542
"Apr 9 1987",0.00378808,0.233853
"Apr 16 1987",0.00210407,0.226676
"Apr 23 1987",0.00155163,0.230228
"Apr 30 1987",0.118478,0.333142
"May 7 1987",0.0979552,0.703559
"May 14 1987",0.550265,0.646895
"May 21 1987",0.227669,0.613568
"May 28 1987",1.49754,0.650115
"Jun 4 1987",0.294678,0.93338
"Jun 11 1987",0.23996,0.732601
"Jun 18 1987",0.192675,0.581116
"Jun 25 1987",0.237381,0.520171
"Jul 2 1987",0.138294,0.494669
"Jul 9 1987",27.3775,26.8459
"Jul 16 1987",7.3417,49.1624
"Jul 23 1987",16.1584,49.2403
"Jul 30 1987",5.81478,15.418
"Aug 6 1987",24.2469,24.3161
"Aug 13 1987",15.5506,55.8954
"Aug 20 1987",2.22163,13.2892
"Aug 27 1987",2.37346,5.98551
"Sep 3 1987",1.79183,3.51605
"Sep 10 1987",0.943537,2.30134
"Sep 17 1987",0.659772,1.46151
"Sep 24 1987",0.470053,0.992341
"Oct 1 1987",0.3325,0.740835
"Oct 8 1987",0.514509,0.807686
"Oct 15 1987",0.243724,0.690434
"Oct 22 1987",0.164583,0.548267
"Oct 29 1987",0.121465,0.469391
"Nov 5 1987",0.0752072,0.42179
"Nov 12 1987",0.0473925,0.391942
"Nov 19 1987",0.0290104,0.36977
"Nov 26 1987",0.0177373,0.351454
"Dec 3 1987",0.0112319,0.335902
"Dec 10 1987",0.00720971,0.322411
"Dec 17 1987",0.00423135,0.310282
"Dec 24 1987",0.00214343,0.298717
"Jan 1 1988",0.00138436,0.28848
"Jan 8 1988",0.000802927,0.279709
"Jan 15 1988",0.000488395,0.271679
"Jan 22 1988",0.000297725,0.264353
"Jan 29 1988",0.000185015,0.257437
"Feb 5 1988",0.000143321,0.250945
"Feb 12 1988",9.30111E-5,0.244769
"Feb 19 1988",6.14636E-5,0.238852
"Feb 26 1988",3.62776E-5,0.232933
"Mar 5 1988",0.000211682,0.227641
"Mar 12 1988",0.000137257,0.2227
"Mar 19 1988",8.97121E-5,0.21811
"Mar 26 1988",6.12941E-5,0.213704
"Apr 2 1988",4.37603E-5,0.209507
"Apr 9 1988",5.67817E-5,0.206467
"Apr 16 1988",4.72254E-5,0.201597
"Apr 23 1988",3.78056E-5,0.197869
"Apr 30 1988",3.0754E-5,0.194292
"May 7 1988",0.000202669,0.195721
"May 14 1988",0.000345413,0.191185
"May 21 1988",0.000240554,0.188633
"May 28 1988",0.000202227,0.185871
"Jun 4 1988",0.000169812,0.183096
"Jun 11 1988",0.0109044,0.19996
"Jun 18 1988",0.0182541,0.222336
"Jun 25 1988",0.00922978,0.219387
"Jul 2 1988",0.0094982,0.216531
"Jul 9 1988",0.00959243,0.224132
"Jul 16 1988",0.0385258,0.226466
"Jul 23 1988",0.483889,0.334949
"Jul 30 1988",0.10533,0.52656
"Aug 6 1988",0.0783634,0.489223
"Aug 13 1988",0.828823,0.894717
"Aug 20 1988",0.264064,0.848723
"Aug 27 1988",0.126135,0.665439
"Sep 3 1988",0.166073,0.512998
"Sep 10 1988",0.114994,0.428178
"Sep 17 1988",0.263705,0.404629
"Sep 24 1988",0.117995,0.374232
"Oct 1 1988",0.0464226,0.348176
"Oct 8 1988",0.0268874,0.331883
"Oct 15 1988",0.0159366,0.320587
"Oct 22 1988",0.00990544,0.311383
"Oct 29 1988",0.00607402,0.302697
"Nov 5 1988",0.00370992,0.29447
"Nov 12 1988",0.0022872,0.301246
"Nov 19 1988",0.0219623,0.304424
"Nov 26 1988",0.00556379,0.301954
"Dec 3 1988",0.0164827,0.33743
"Dec 10 1988",0.00422793,0.32616
"Dec 17 1988",0.0021899,0.307809
"Dec 24 1988",0.00104209,0.296374
"Jan 1 1989",0.00133789,0.288528
"Jan 8 1989",0.00107594,0.283133
"Jan 15 1989",0.000488866,0.277664
"Jan 22 1989",0.000307467,0.272143
"Jan 29 1989",0.000180375,0.266658
"Feb 5 1989",0.000111662,0.261282
"Feb 12 1989",7.05713E-5,0.255937
"Feb 19 1989",4.66152E-5,0.250791
"Feb 26 1989",3.13616E-5,0.215016
"Mar 5 1989",0.000164732,0.240821
"Mar 12 1989",0.000116824,0.236065
"Mar 19 1989",7.36015E-5,0.231463
"Mar 26 1989",5.06133E-5,0.226994
"Apr 2 1989",3.6394E-5,0.222637
"Apr 9 1989",2.70856E-5,0.218451
"Apr 16 1989",2.05987E-5,0.214402
"Apr 23 1989",0.00422321,0.218832
"Apr 30 1989",0.254211,0.264413
"May 7 1989",0.23537,0.310592
"May 14 1989",0.260518,0.382625
"May 21 1989",0.0862599,0.358498
"May 28 1989",0.0680428,0.332259
"Jun 4 1989",0.0907459,0.31558
"Jun 11 1989",0.0511348,0.304386
"Jun 18 1989",0.042059,0.298628
"Jun 25 1989",0.127198,0.29842
"Jul 2 1989",0.0477637,0.29311
"Jul 9 1989",0.0391677,0.286682
"Jul 16 1989",0.265511,0.33463
"Jul 23 1989",2.16882,3.22247
"Jul 30 1989",2.32001,4.70706
"Aug 6 1989",0.469258,3.31315
"Aug 13 1989",1.65299,1.84134
"Aug 20 1989",4.57376,2.85281
"Aug 27 1989",0.902973,2.40169
